Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-02,314.3900146484375,314.3900146484375,303.75,309.989990234375,6218800,0,0
2019-12-03,302.2200012207031,307.3599853515625,301.8800048828125,306.1600036621094,4992800,0,0
2019-12-04,308.42999267578125,308.42999267578125,303.2699890136719,304.32000732421875,3512100,0,0
2019-12-05,305.2699890136719,306.4800109863281,298.80999755859375,302.8599853515625,4615500,0,0
2019-12-06,304.70001220703125,307.8500061035156,302.6000061035156,307.3500061035156,4457800,0,0
2019-12-09,307.3500061035156,311.489990234375,302.44000244140625,302.5,5748400,0,0
2019-12-10,296.1199951171875,298.94000244140625,292.0199890136719,293.1199951171875,10476100,0,0
2019-12-11,294.489990234375,299.42999267578125,294.20001220703125,298.92999267578125,5589800,0,0
2019-12-12,295.6700134277344,299.1700134277344,295.05999755859375,298.44000244140625,4766600,0,0
2019-12-13,298.5,301.79998779296875,297.25,298.5,3879700,0,0
2019-12-16,300.8500061035156,305.7099914550781,298.6300048828125,304.2099914550781,4658900,0,0
2019-12-17,307.3599853515625,316.79998779296875,306.6000061035156,315.4800109863281,10427100,0,0
2019-12-18,316.260009765625,325.3599853515625,315.6000061035156,320.79998779296875,11207400,0,0
2019-12-19,324.5,332.8299865722656,324.17999267578125,332.2200012207031,9822300,0,0
2019-12-20,335.0,338.0,330.6000061035156,336.8999938964844,9914900,0,0
2019-12-23,337.760009765625,337.95001220703125,331.0199890136719,333.1000061035156,5765300,0,0
2019-12-24,334.010009765625,335.70001220703125,331.6000061035156,333.20001220703125,2019300,0,0
2019-12-26,334.6000061035156,336.4599914550781,332.010009765625,332.6300048828125,3589900,0,0
2019-12-27,332.9599914550781,333.82000732421875,326.010009765625,329.0899963378906,5036100,0,0
2019-12-30,329.0799865722656,329.19000244140625,322.8599853515625,323.30999755859375,4311500,0,0
2019-12-31,322.0,324.9200134277344,321.0899963378906,323.57000732421875,3713300,0,0
2020-01-02,326.1000061035156,329.9800109863281,324.7799987792969,329.80999755859375,4485800,0,0
2020-01-03,326.7799987792969,329.8599853515625,325.5299987792969,325.8999938964844,3806900,0,0
2020-01-06,323.1199951171875,336.3599853515625,321.20001220703125,335.8299865722656,5663100,0,0
2020-01-07,336.4700012207031,336.70001220703125,330.29998779296875,330.75,4703200,0,0
2020-01-08,331.489990234375,342.70001220703125,331.04998779296875,339.260009765625,7104500,0,0
2020-01-09,342.0,343.4200134277344,334.6099853515625,335.6600036621094,4709300,0,0
2020-01-10,337.1300048828125,338.5,327.2699890136719,329.04998779296875,4718300,0,0
2020-01-13,331.79998779296875,340.8500061035156,331.510009765625,338.9200134277344,6290000,0,0
2020-01-14,344.3999938964844,345.3800048828125,335.5199890136719,338.69000244140625,7199400,0,0
2020-01-15,338.67999267578125,343.1700134277344,336.6000061035156,339.07000732421875,5158000,0,0
2020-01-16,343.5,343.55999755859375,335.8500061035156,338.6199951171875,5016000,0,0
2020-01-17,341.0,341.57000732421875,337.3800048828125,339.6700134277344,6066500,0,0
2020-01-21,340.0,341.0,332.5899963378906,338.1099853515625,14350300,0,0
2020-01-22,332.54998779296875,336.29998779296875,323.6000061035156,326.0,21730000,0,0
2020-01-23,326.0400085449219,349.8800048828125,325.010009765625,349.6000061035156,18200300,0,0
2020-01-24,348.4599914550781,359.8500061035156,345.8800048828125,353.1600036621094,17939700,0,0
2020-01-27,345.95001220703125,351.8999938964844,341.0199890136719,342.8800048828125,7709500,0,0
2020-01-28,345.8800048828125,352.3999938964844,342.7799987792969,348.5199890136719,6821600,0,0
2020-01-29,349.0,349.3999938964844,338.54998779296875,343.1600036621094,7643500,0,0
2020-01-30,341.1000061035156,348.20001220703125,339.25,347.739990234375,5328100,0,0
2020-01-31,347.3900146484375,347.3900146484375,340.9800109863281,345.0899963378906,5230000,0,0
2020-02-03,347.239990234375,359.6300048828125,346.2799987792969,358.0,6670600,0,0
2020-02-04,361.0,369.57000732421875,356.1000061035156,369.010009765625,7161500,0,0
2020-02-05,375.1300048828125,375.25,362.29998779296875,369.6700134277344,6437000,0,0
2020-02-06,369.6000061035156,371.54998779296875,362.510009765625,366.95001220703125,3920400,0,0
2020-02-07,365.0400085449219,371.79998779296875,363.57000732421875,366.7699890136719,4385200,0,0
2020-02-10,365.0,374.79998779296875,362.5199890136719,371.07000732421875,5294100,0,0
2020-02-11,373.75,378.1099853515625,369.7200012207031,373.69000244140625,4772900,0,0
2020-02-12,377.17999267578125,380.6199951171875,375.8800048828125,380.010009765625,4624800,0,0
2020-02-13,376.9599914550781,385.3699951171875,376.510009765625,381.3999938964844,4485400,0,0
2020-02-14,381.4700012207031,385.1499938964844,379.42999267578125,380.3999938964844,3736300,0,0
2020-02-18,379.29998779296875,389.5400085449219,379.19000244140625,387.7799987792969,5173900,0,0
2020-02-19,388.1199951171875,392.95001220703125,384.8999938964844,386.19000244140625,4896400,0,0
2020-02-20,386.55999755859375,389.70001220703125,376.67999267578125,386.0,4079400,0,0
2020-02-21,385.3299865722656,387.32000732421875,377.8999938964844,380.07000732421875,3930100,0,0
2020-02-24,364.760009765625,372.82000732421875,361.0,368.70001220703125,6936400,0,0
2020-02-25,372.0,375.6499938964844,357.7200012207031,360.0899963378906,6481200,0,0
2020-02-26,366.30999755859375,382.0,365.0,379.239990234375,8934100,0,0
2020-02-27,371.4599914550781,391.55999755859375,370.6000061035156,371.7099914550781,10967700,0,0
2020-02-28,364.2099914550781,376.7699890136719,356.79998779296875,369.0299987792969,11168600,0,0
2020-03-02,373.1099853515625,381.3599853515625,364.5,381.04998779296875,6997900,0,0
2020-03-03,381.0299987792969,393.5199890136719,367.3999938964844,368.7699890136719,8364600,0,0
2020-03-04,377.7699890136719,384.010009765625,370.510009765625,383.7900085449219,5487300,0,0
2020-03-05,381.0,391.3999938964844,368.6400146484375,372.7799987792969,8747000,0,0
2020-03-06,367.70001220703125,371.30999755859375,356.8500061035156,368.9700012207031,8147200,0,0
2020-03-09,343.8599853515625,357.4700012207031,341.7200012207031,346.489990234375,7405500,0,0
2020-03-10,356.42999267578125,364.5400085449219,347.8500061035156,364.1300048828125,7604400,0,0
2020-03-11,358.9200134277344,362.9800109863281,344.7900085449219,349.9200134277344,6036000,0,0
2020-03-12,326.5,335.7200012207031,307.32000732421875,315.25,12071600,0,0
2020-03-13,330.510009765625,336.4200134277344,307.3900146484375,336.29998779296875,9458200,0,0
2020-03-16,306.6300048828125,334.3500061035156,294.75,298.8399963378906,10559900,0,0
2020-03-17,306.19000244140625,322.8999938964844,290.25,319.75,10013900,0,0
2020-03-18,302.3999938964844,331.5799865722656,300.0,315.4700012207031,12593600,0,0
2020-03-19,324.3299865722656,348.510009765625,316.82000732421875,332.0299987792969,10616000,0,0
2020-03-20,342.30999755859375,350.489990234375,332.0,332.8299865722656,10853800,0,0
2020-03-23,347.8900146484375,366.1099853515625,340.8800048828125,360.2699890136719,13449400,0,0
2020-03-24,369.989990234375,372.92999267578125,353.0299987792969,357.32000732421875,11638700,0,0
2020-03-25,361.0199890136719,362.0,339.1700134277344,342.3900146484375,8767200,0,0
2020-03-26,344.0,363.8399963378906,341.7300109863281,362.989990234375,7229600,0,0
2020-03-27,359.0899963378906,368.55999755859375,353.0,357.1199951171875,7948800,0,0
2020-03-30,363.0,377.79998779296875,361.1700134277344,370.9599914550781,8622000,0,0
2020-03-31,367.92999267578125,383.010009765625,366.44000244140625,375.5,9366500,0,0
2020-04-01,376.04998779296875,380.2300109863281,361.0199890136719,364.0799865722656,6672500,0,0
